Address,Location,Price,Beds,Baths,Sqft
75 Morris Street,"Charleston, SC 29403",799000,2 br,2 ba,1387
3 Doughty Street,"Charleston, SC 29403",999000,4 br,"2 ba, 1 Half Bath",1870
1142 Oceanview Road,"Charleston, SC 29412",625000,5 br,3 ba,1924
1728 Boone Hall Drive,"Charleston, SC 29407",314999,3 br,"1 ba, 1 Half Bath",1300
37 Rivers Point Row UNIT C,"Charleston, SC 29412",315000,2 br,"2 ba, 1 Half Bath",1240
431 Lindberg Street,"Charleston, SC 29412",679000,3 br,"2 ba, 1 Half Bath",1996
17 Jamaica Drive,"Charleston, SC 29407",847700,4 br,3 ba,2365
668 W Oak Forest Drive,"Charleston, SC 29407",480000,3 br,2 ba,1395
3548 Springmire Court,"Charleston, SC 29414",529000,4 br,"2 ba, 1 Half Bath",2543
1416 Elfe Street,"Charleston, SC 29492",865000,3 br,"2 ba, 1 Half Bath",1790
1 H Street,"Charleston, SC 29403",625000,2 br,2 b,932
3148 Safe Harbor Way,"Charleston, SC 29414",496720,4 br,"2 ba, 1 Half Bath",2315
2721 Ashley Ferry Road,"Charleston, SC 29414",370000,3 br,2 ba,1575
1849 Beechwood Road,"Charleston, SC 29414",285000,3 br,2 ba,1440
4020 Babbitt Street,"Charleston, SC 29414",299900,2 br,"2 ba, 1 Half Bath",1274
45 Sycamore Avenue UNIT #1615,"Charleston, SC 29407",295000,2 br,1 b,893
524 Park Crossing Street,"Charleston, SC 29492",2889000,4 br,"3 ba, 1 Half Bath",4195
2320 Treescape Drive UNIT #1,"Charleston, SC 29414",190000,2 br,2 ba,1072
1701 Manassas Drive,"Charleston, SC 29414",589000,4 br,"3 ba, 1 Half Bath",2504
1668 Southport Drive,"Charleston, SC 29407",850000,5 br,"3 ba, 1 Half Bath",3168
4510 Overbrook Avenue,"Charleston, SC 29405",350000,2 br,1 b,862
1562 Clark Sound Circle,"Charleston, SC 29412",725000,4 br,"2 ba, 1 Half Bath",2223
2408 Havana Drive,"Charleston, SC 29492",687995,3 br,"2 ba, 1 Half Bath",2947
2045 Rondo Street UNIT F,"Charleston, SC 29414",219000,2 br,"1 ba, 1 Half Bath",1066
765 Shell Sand Road,"Charleston, SC 29412",599900,3 br,"2 ba, 1 Half Bath",1961
1077 Harbor View Road,"Charleston, SC 29412",649000,3 br,2 ba,1711
