,Address,Location,Price,Beds,Baths,Sqft
0,4020 Babbitt Street,"Charleston, SC 29414","$299,900",2 br,"2 ba, 1 Half Bath",1274 Sqft
1,45 Sycamore Avenue,"Charleston, SC 29407","$295,000",2 br,1 b, 893 Sqft
2,524 Park Crossing Street,"Charleston, SC 29492","$2,889,000",4 br,"3 ba, 1 Half Bath",4195 Sqft
3,2320 Treescape Drive UNIT #1,"Charleston, SC 29414","$190,000",2 br,2 ba,1072 Sqft
4,1701 Manassas Drive,"Charleston, SC 29414","$589,000",4 br,"3 ba, 1 Half Bath",2504 Sqft
5,1668 Southport Drive,"Charleston, SC 29407","$850,000",5 br,"3 ba, 1 Half Bath",3168 Sqft
6,4510 Overbrook Avenue,"Charleston, SC 29405","$350,000",2 br,1 b, 862 Sqft
7,1562 Clark Sound Circle,"Charleston, SC 29412","$725,000",4 br,"2 ba, 1 Half Bath",2223 Sqft
8,2408 Havana Drive,"Charleston, SC 29492","$687,995",3 br,"2 ba, 1 Half Bath",2947 Sqft
9,2045 Rondo Street UNIT F,"Charleston, SC 29414","$220,000",2 br,"1 ba, 1 Half Bath",1066 Sqft
10,1077 Harbor View Road,"Charleston, SC 29412","$649,000",3 br,2 ba,1711 Sqft
11,1234 Stone Post Road,"Charleston, SC 29412","$650,000",4 br,3 ba,2191 Sqft
12,1814 Pierce Street,"Charleston, SC 29492","$769,900",3 br,"3 ba, 1 Half Bath",2294 Sqft
13,34 Sheppard Street,"Charleston, SC 29403","$371,600",2 br,1 b, 929 Sqft
14,8 Dewey St UNIT C,"Charleston, SC 29403","$450,000",1 br,1 b, 460 Sqft
15,181 River Green Place,"Charleston, SC 29492","$4,500,000",5 br,"5 ba, 1 Half Bath",4432 Sqft
16,150 Bee Street UNIT #808,"Charleston, SC 29401","$500,000",1 br,"1 ba, 1 Half Bat", 964 Sqft
17,637 Pasdalum Court,"Charleston, SC 29414","$579,000",4 br,3 ba,2574 Sqft
18,974 Fort Sumter Drive,"Charleston, SC 29412","$1,275,000",4 br,"3 ba, 1 Half Bath",3040 Sqft
19,3014 Scuba Drive,"Charleston, SC 29414","$500,000",3 br,"2 ba, 1 Half Bath",1906 Sqft
20,1265 Island Club Drive UNIT A,"Charleston, SC 29492","$345,000",3 br,"2 ba, 1 Half Bath",1642 Sqft
21,927 Kushiwah Creek Drive,"Charleston, SC 29412","$595,000",3 br,"2 ba, 1 Half Bath",1880 Sqft
22,1878 Carolina Bay Drive,"Charleston, SC 29414","$509,999",3 br,"2 ba, 1 Half Bath",1904 Sqft
23,2157 Sol Legare Road,"Charleston, SC 29412","$1,650,000",4 br,"4 ba, 1 Half Bath",2933 Sqft
24,139 Rowans Creek Drive,"Charleston, SC 29492","$475,000",3 br,"2 ba, 2 Half Bath",1860 Sqft
25,1635 Folly Creek Way UNIT D-1,"Charleston, SC 29412","$1,080,000",3 br,3 ba,1738 Sqft
26,13 Anita Drive,"Charleston, SC 29407","$464,900",2 br,2 b, 900 Sqft
27,2257 N Dallerton Circle,"Charleston, SC 29414","$295,000",3 br,"2 ba, 1 Half Bath",1587 Sqft
28,1563 Pixley Street,"Charleston, SC 29414","$541,000",4 br,3 ba,2445 Sqft
29,27 Gadsden Street,"Charleston, SC 29401","$2,195,000",4 br,"3 ba, 1 Half Bath",2640 Sqft
30,108 S Battery Street,"Charleston, SC 29401","$2,900,000",5 br,"2 ba, 1 Half Bath",3761 Sqft
31,3193 Landing Parkway,"Charleston, SC 29420","$399,900",4 br,2 ba,2013 Sqft
32,2120 Booker Street,"Charleston, SC 29405","$595,000",4 br,"2 ba, 1 Half Bath",2267 Sqft
33,5 Talon Court,"Charleston, SC 29403","$880,000",2 br,"1 ba, 1 Half Bath",1360 Sqft
34,156 Tradd Street UNIT E,"Charleston, SC 29401","$1,595,000",3 br,"3 ba, 2 Half Bath",2391 Sqft
35,723 James Drive,"Charleston, SC 29412","$575,000",3 br,2 ba,1633 Sqft
36,119 Dorothy Drive,"Charleston, SC 29414","$339,900Reduced  -$20,000 ",2 br,"2 ba, 1 Half Bath",1669 Sqft
37,1162 Barfield Street,"Charleston, SC 29492","$675,000",3 br,"2 ba, 1 Half Bath",1520 Sqft
38,330 Concord Street,"Charleston, SC 29401","$530,000",2 br,2 ba,1219 Sqft
39,5 Gadsdenboro Street UNIT #412,"Charleston, SC 29401","$574,900",1 br,1 b, 794 Sqft
40,152 Low Tide,"Charleston, SC 29492","$1,689,990",4 br,3 ba,2842 Sqft
41,1511 Scott Hill Rd,"Charleston, SC 29412","$259,000",2 br,1 b, 720 Sqft
42,2032 Telfair Way UNIT #2032,"Charleston, SC 29414","$350,000",2 br,2 ba,1120 Sqft
43,1235 White Tail,"Charleston, SC 29414","$675,000",4 br,"2 ba, 1 Half Bath",3436 Sqft
44,821 Hitching Post Road,"Charleston, SC 29414","$312,500",3 br,2 ba,1611 Sqft
45,2135 S Dallerton Circle,"Charleston, SC 29414","$350,000",4 br,2 ba,1437 Sqft
46,33 Lockwood Drive UNIT Lu196 - Slip I-19,"Charleston, SC 29401","$59,900",n/a ,", n/a b", n/a Sqft
47,1232 Wando Shores,"Charleston, SC 29492","$409,900",3 br,2 ba,1404 Sqft
48,1147 Lighthouse Boulevard,"Charleston, SC 29412","$435,000",3 br,"1 ba, 1 Half Bath",1066 Sqft
49,5396 Greggs Landing Drive,"Charleston, SC 29420","$459,900Reduced  -$15,100 ",4 br,"2 ba, 1 Half Bath",2302 Sqft
50,123 Cannon Street,"Charleston, SC 29403","$3,300,000",6 br,"4 ba, 1 Half Bath",3180 Sqft
51,790 Williamsburg Lane,"Charleston, SC 29414","$399,000",3 br,"2 ba, 1 Half Bath",1737 Sqft
52,35 Lolandra Avenue,"Charleston, SC 29407","$799,000Reduced  -$1,000 ",3 br,2 ba,1800 Sqft
53,84 Logan Street,"Charleston, SC 29401","$1,195,000",3 br,"2 ba, 1 Half Bath",1472 Sqft
54,1002 Washitonia Way UNIT B,"Charleston, SC 29492","$305,000",2 br,"2 ba, 1 Half Bath",1322 Sqft
55,17 Meeting Street,"Charleston, SC 29401","$7,800,000",5 br,"4 ba, 2 Half Bath",5332 Sqft
56,1 Cool Blow,"Charleston, SC 29403","$300,000",1 br,1 b, 822 Sqft
57,85 Cumberland Street UNIT #17,"Charleston, SC 29401","$560,000",1 br,1 b, 631 Sqft
